id base_name video_name class width height x y
0 5_Shoplifting001_x264 5_Shoplifting001_x264_2 1 331 363 230 86
1 6_Shoplifting001_x264 6_Shoplifting001_x264_3 1 226 366 255 97
2 16_Shoplifting005_x264 16_Shoplifting005_x264_1 1 216 480 227 0
3 69_Shoplifting010_x264 69_Shoplifting010_x264_1 1 129 238 152 191
4 72_Shoplifting010_x264 72_Shoplifting010_x264_1 1 84 199 162 166
5 73_Shoplifting010_x264 73_Shoplifting010_x264_1 1 81 209 159 144
6 165_Shoplifting016_x264 165_Shoplifting016_x264_1 1 468 427 62 53
7 169_Shoplifting018_x264 169_Shoplifting018_x264_3 1 112 276 439 22
8 170_Shoplifting018_x264 170_Shoplifting018_x264_2 1 207 469 433 11
9 171_Shoplifting018_x264 171_Shoplifting018_x264_3 1 115 298 443 36
10 172_Shoplifting018_x264 172_Shoplifting018_x264_2 1 115 282 443 26
11 209_Shoplifting022_x264 209_Shoplifting022_x264_1 1 219 368 133 85
12 210_Shoplifting022_x264 210_Shoplifting022_x264_1 1 293 334 21 120
13 213_Shoplifting022_x264 213_Shoplifting022_x264_1 1 234 377 89 78
14 223_Shoplifting029_x264 223_Shoplifting029_x264_1 1 136 267 166 81
15 226_Shoplifting031_x264 226_Shoplifting031_x264_1 1 211 271 0 209
16 244_Shoplifting034_x264 244_Shoplifting034_x264_1 1 152 260 290 0
17 245_Shoplifting034_x264 245_Shoplifting034_x264_1 1 140 219 286 0
18 251_Shoplifting034_x264 251_Shoplifting034_x264_2 1 316 421 101 59
19 267_Shoplifting040_x264 267_Shoplifting040_x264_4 1 401 301 180 179
20 270_Shoplifting040_x264 270_Shoplifting040_x264_3 1 378 277 112 203
21 273_Shoplifting040_x264 273_Shoplifting040_x264_5 1 255 261 320 219
22 282_Shoplifting040_x264 282_Shoplifting040_x264_2 1 230 294 333 186
23 282_Shoplifting040_x264 282_Shoplifting040_x264_5 1 269 291 163 189
24 295_Shoplifting040_x264 295_Shoplifting040_x264_3 1 317 303 264 177
25 295_Shoplifting040_x264 295_Shoplifting040_x264_4 1 222 274 148 206
26 301_Shoplifting040_x264 301_Shoplifting040_x264_2 1 247 251 187 229
27 310_Shoplifting040_x264 310_Shoplifting040_x264_3 1 315 277 222 203
28 377_Shoplifting052_x264 377_Shoplifting052_x264_1 1 360 480 85 0
29 380_Shoplifting052_x264 380_Shoplifting052_x264_2 1 381 480 82 0
30 383_Shoplifting052_x264 383_Shoplifting052_x264_2 1 456 480 32 0
31 387_Shoplifting052_x264 387_Shoplifting052_x264_1 1 428 480 73 0
32 390_Shoplifting052_x264 390_Shoplifting052_x264_1 1 264 478 137 0
33 401_video--cH7TGI6zUk 401_video--cH7TGI6zUk_1 1 235 333 197 83
34 404_video-2EoU6EXnPuE 404_video-2EoU6EXnPuE_2 1 267 210 163 231
35 407_video-2OM3oqQ2RbE_resize_0 407_video-2OM3oqQ2RbE_resize_0_2 1 291 454 250 26
36 409_video-2OM3oqQ2RbE_resize_2 409_video-2OM3oqQ2RbE_resize_2_1 1 312 480 122 0
37 410_video-2OM3oqQ2RbE_resize_2 410_video-2OM3oqQ2RbE_resize_2_2 1 376 480 61 0
38 411_video-2OM3oqQ2RbE_resize_3 411_video-2OM3oqQ2RbE_resize_3_1 1 295 445 130 35
39 413_video-2gqpXl8I7mE_resize 413_video-2gqpXl8I7mE_resize_1 1 100 160 181 156
40 414_video-2gqpXl8I7mE_resize 414_video-2gqpXl8I7mE_resize_1 1 76 163 198 157
41 415_video-2gqpXl8I7mE_resize 415_video-2gqpXl8I7mE_resize_1 1 75 150 199 160
42 416_video-2gqpXl8I7mE_resize 416_video-2gqpXl8I7mE_resize_1 1 81 150 192 160
43 417_video-2gqpXl8I7mE_resize 417_video-2gqpXl8I7mE_resize_1 1 78 151 198 160
44 428_video-3-oz1SPWiY4 428_video-3-oz1SPWiY4_1 1 186 295 297 143
45 429_video-3-oz1SPWiY4 429_video-3-oz1SPWiY4_1 1 223 331 290 132
46 437_video-4WZo39BbE3o_2 437_video-4WZo39BbE3o_2_4 1 87 223 442 57
47 438_video-4WZo39BbE3o_2 438_video-4WZo39BbE3o_2_6 1 75 204 459 64
48 442_video-4yzKIYbm6tM 442_video-4yzKIYbm6tM_1 1 261 425 277 55
49 443_video-4yzKIYbm6tM 443_video-4yzKIYbm6tM_1 1 235 417 301 63
50 449_video-64zoxiMu0p8_1 449_video-64zoxiMu0p8_1_1 1 405 365 61 93
51 450_video-64zoxiMu0p8_1 450_video-64zoxiMu0p8_1_1 1 233 274 131 179
52 450_video-64zoxiMu0p8_1 450_video-64zoxiMu0p8_1_2 1 186 296 66 108
53 451_video-64zoxiMu0p8_1 451_video-64zoxiMu0p8_1_1 1 198 295 110 156
54 452_video-64zoxiMu0p8_1 452_video-64zoxiMu0p8_1_1 1 250 307 97 148
55 456_video-64zoxiMu0p8_1 456_video-64zoxiMu0p8_1_2 1 207 318 115 135
56 457_video-64zoxiMu0p8_1 457_video-64zoxiMu0p8_1_3 1 360 358 139 93
57 460_video-64zoxiMu0p8_1 460_video-64zoxiMu0p8_1_1 1 293 342 113 112
58 463_video-64zoxiMu0p8_1 463_video-64zoxiMu0p8_1_1 1 166 247 137 130
59 464_video-64zoxiMu0p8_1 464_video-64zoxiMu0p8_1_1 1 171 166 112 216
60 477_video-A_KcGe-nqjw 477_video-A_KcGe-nqjw_1 1 242 230 208 219
61 480_video-A_KcGe-nqjw 480_video-A_KcGe-nqjw_2 1 213 316 223 91
62 484_video-b2e5xXVYEnY_resize 484_video-b2e5xXVYEnY_resize_2 1 89 173 269 163
63 485_video-b2e5xXVYEnY_resize 485_video-b2e5xXVYEnY_resize_1 1 146 272 256 138
64 487_video-bIxeQKzk9-0 487_video-bIxeQKzk9-0_1 1 142 300 77 149
