id video_name class subset
0 video-2EoU6EXnPuE 0 train
1 video-2EoU6EXnPuE 1 validation
2 video-2EoU6EXnPuE 0 train
3 video-2gqpXl8I7mE_resize 0 train
4 video-2gqpXl8I7mE_resize 1 train
5 video-2gqpXl8I7mE_resize 1 train
6 video-2gqpXl8I7mE_resize 1 train
7 video-2gqpXl8I7mE_resize 1 validation
8 video-2gqpXl8I7mE_resize 1 train
9 video-2gqpXl8I7mE_resize 0 train
10 video-3-oz1SPWiY4 0 train
11 video-3-oz1SPWiY4 1 validation
12 video-3-oz1SPWiY4 0 train
13 video-4WZo39BbE3o_2 0 validation
14 video-4WZo39BbE3o_2 1 train
15 video-4WZo39BbE3o_3 0 train
16 video-4WZo39BbE3o_3 1 train
17 video-4WZo39BbE3o_3 1 train
18 video-4WZo39BbE3o_3 0 validation
19 video-4WZo39BbE3o_3 1 train
20 video-4WZo39BbE3o_3 1 train
21 video-4yzKIYbm6tM 0 train
22 video-4yzKIYbm6tM 1 train
23 video-4yzKIYbm6tM 0 train
24 video-64zoxiMu0p8_1 1 train
25 video-64zoxiMu0p8_1 1 validation
26 video-64zoxiMu0p8_1 1 train
27 video-64zoxiMu0p8_1 1 validation
28 video-64zoxiMu0p8_1 1 train
29 video-64zoxiMu0p8_1 1 train
30 video-64zoxiMu0p8_1 1 train
31 video-64zoxiMu0p8_1 1 train
32 video-64zoxiMu0p8_1 1 validation
33 video-64zoxiMu0p8_1 0 train
34 video--U5SQGQl7ew_crop 0 train
35 video--U5SQGQl7ew_crop 1 train
36 video--cH7TGI6zUk 0 validation
37 video--cH7TGI6zUk 1 validation
38 video-DKqb-0bBx7E_resize 0 train
39 video-DKqb-0bBx7E_resize 1 train
40 video-DKqb-0bBx7E_resize 1 train
41 video-DKqb-0bBx7E_resize 0 train
42 video-DKqb-0bBx7E_resize 1 train
43 video-DKqb-0bBx7E_resize 0 train
44 video-DKqb-0bBx7E_resize 1 validation
45 video-DKqb-0bBx7E_resize 1 train
46 video-DKqb-0bBx7E_resize 0 train
47 video-DXlgdJ34Gnc_resize 0 validation
48 video-DXlgdJ34Gnc_resize 1 train
49 video-DXlgdJ34Gnc_resize 0 train
50 video-F-zT2pI-lnQ_1 0 train
51 video-F-zT2pI-lnQ_1 1 train
52 video-F-zT2pI-lnQ_1 0 train
53 video-F-zT2pI-lnQ_2 1 train
54 video-F-zT2pI-lnQ_2 0 train
55 video-F-zT2pI-lnQ_2 1 train
56 video-GB0e1M5p3NU 0 train
57 video-GB0e1M5p3NU 1 train
58 video-GB0e1M5p3NU 0 train
59 video-HsaTjpESyDU 1 train
60 video-HsaTjpESyDU 1 train
61 video-HsaTjpESyDU 1 train
62 video-HsaTjpESyDU 1 train
63 video-HsaTjpESyDU 1 train
64 video-HsaTjpESyDU 0 validation
65 video-HsaTjpESyDU 1 validation
66 video-HsaTjpESyDU 1 train
67 video-HsaTjpESyDU 1 train
68 video-OXlaho8wayQ_resize 0 train
69 video-OXlaho8wayQ_resize 1 train
70 video-OXlaho8wayQ_resize 0 train
71 video-Q01ZWqsU6a8 0 train
72 video-Q01ZWqsU6a8 1 train
73 video-Q01ZWqsU6a8 0 train
74 video-US59wO9bAv4_1 0 train
75 video-US59wO9bAv4_1 1 train
76 video-US59wO9bAv4_1 0 validation
77 video-UUzTqHLTA4g 0 validation
78 video-UUzTqHLTA4g 1 train
79 video-UUzTqHLTA4g 1 train
80 video-UUzTqHLTA4g 1 train
81 video-UUzTqHLTA4g 0 validation
82 video-WMeziHjV7Sc_resize 0 train
83 video-WMeziHjV7Sc_resize 1 train
84 video-WMeziHjV7Sc_resize 0 train
85 video-Z65lGGMaSFE_1 1 train
86 video-Z65lGGMaSFE_1 1 train
87 video-Z65lGGMaSFE_2 1 train
88 video-Z65lGGMaSFE_2 0 train
89 video-Z65lGGMaSFE_2 1 train
90 video-Z65lGGMaSFE_2 1 train
91 video-Z65lGGMaSFE_2 0 train
92 video-_dmpHSznOMk 0 train
93 video-_dmpHSznOMk 1 train
94 video-b2e5xXVYEnY_resize 0 train
95 video-b2e5xXVYEnY_resize 1 train
96 video-b2e5xXVYEnY_resize 1 train
97 video-b2e5xXVYEnY_resize 0 train
98 video-bIxeQKzk9-0 1 train
99 video-bIxeQKzk9-0 0 train
100 video-cusyKShBCi4 0 train
101 video-cusyKShBCi4 1 train
102 video-cusyKShBCi4 0 train
103 video-cxzukX7Z_1I_resize 0 validation
104 video-cxzukX7Z_1I_resize 1 validation
105 video-cxzukX7Z_1I_resize 1 validation
106 video-cxzukX7Z_1I_resize 1 train
107 video-cxzukX7Z_1I_resize 1 train
108 video-cxzukX7Z_1I_resize 1 train
109 video-cxzukX7Z_1I_resize 0 train
110 video-fmFTmov-K2k_resize 0 train
111 video-fmFTmov-K2k_resize 1 validation
112 video-fmFTmov-K2k_resize 1 validation
113 video-fmFTmov-K2k_resize 0 train
114 video-fs-ifFsc8Bg_resize 0 train
115 video-fs-ifFsc8Bg_resize 1 validation
116 video-gkitFhxrYc8 1 train
117 video-gkitFhxrYc8 1 validation
118 video-lZPbkfUYavo 0 validation
119 video-lZPbkfUYavo 1 train
120 video-lZPbkfUYavo 0 train
121 video-nm2KxtOZOqA 0 train
122 video-nm2KxtOZOqA 1 validation
123 video-nm2KxtOZOqA 0 train
124 video-oLRqoHPl6xU 0 train
125 video-oLRqoHPl6xU 1 train
126 video-oLRqoHPl6xU 0 train
127 video-r31hPlS1CwE_resize 0 validation
128 video-r31hPlS1CwE_resize 1 train
129 video-r31hPlS1CwE_resize 0 train
130 video-u6dGiANdDNQ_1 0 validation
131 video-u6dGiANdDNQ_1 1 validation
132 video-u6dGiANdDNQ_1 0 train
133 video-uGpFQT3Uiig_1 0 train
134 video-uGpFQT3Uiig_1 1 train
135 video-uGpFQT3Uiig_1 0 validation
136 video-uGpFQT3Uiig_6 0 train
137 video-uGpFQT3Uiig_6 1 train
138 video-uGpFQT3Uiig_6 0 train
139 video-vA9duDV6VFc 0 train
140 video-vA9duDV6VFc 1 train
141 video-vA9duDV6VFc 0 train
142 video-vA9duDV6VFc 1 train
143 video-vA9duDV6VFc 0 train
144 video-vA9duDV6VFc 1 validation
145 video-vA9duDV6VFc 0 validation
146 video-vBu6OiSdrds_resize 0 validation
147 video-vBu6OiSdrds_resize 1 train
148 video-vBu6OiSdrds_resize 1 train
149 video-yyUaFBMwLlA_resize 0 train
150 video-yyUaFBMwLlA_resize 1 train
151 video-yyUaFBMwLlA_resize 1 train
152 video-yyUaFBMwLlA_resize 0 train
153 Shoplifting001_x264 0 train
154 Shoplifting001_x264 1 train
155 Shoplifting001_x264 1 train
156 Shoplifting001_x264 0 validation
157 Shoplifting005_x264 0 train
158 Shoplifting005_x264 1 train
159 Shoplifting005_x264 0 train
160 Shoplifting007_x264 0 train
161 Shoplifting007_x264 1 train
162 Shoplifting007_x264 0 train
163 Shoplifting010_x264 0 train
164 Shoplifting010_x264 1 train
165 Shoplifting010_x264 0 train
166 Shoplifting010_x264 1 train
167 Shoplifting010_x264 0 train
168 Shoplifting010_x264 1 train
169 Shoplifting010_x264 0 train
170 Shoplifting012_x264 0 train
171 Shoplifting012_x264 1 train
172 Shoplifting012_x264 0 train
173 Shoplifting015_x264 0 train
174 Shoplifting015_x264 1 train
175 Shoplifting016_x264 0 train
176 Shoplifting016_x264 1 train
177 Shoplifting016_x264 0 validation
178 Shoplifting017_x264 0 train
179 Shoplifting017_x264 1 train
180 Shoplifting018_x264 0 train
181 Shoplifting018_x264 1 validation
182 Shoplifting018_x264 0 validation
183 Shoplifting018_x264 1 validation
184 Shoplifting018_x264 0 train
185 Shoplifting020_x264 0 train
186 Shoplifting020_x264 1 train
187 Shoplifting020_x264 0 validation
188 Shoplifting021_x264 0 train
189 Shoplifting021_x264 1 train
190 Shoplifting021_x264 0 train
191 Shoplifting022_x264 0 train
192 Shoplifting022_x264 1 train
193 Shoplifting022_x264 0 train
194 Shoplifting022_x264 1 train
195 Shoplifting022_x264 0 train
196 Shoplifting022_x264 1 train
197 Shoplifting022_x264 0 train
198 Shoplifting022_x264 1 train
