id video_name class start_time end_time x y width height fps
0 video-2EoU6EXnPuE.mp4 0 00:00:00 00:00:08 261 215 175 190 5
1 video-2EoU6EXnPuE.mp4 1 00:00:08 00:00:16 261 215 175 190 5
2 video-2EoU6EXnPuE.mp4 0 00:00:16 00:00:26 261 215 175 190 4
3 video-2gqpXl8I7mE_resize.mp4 0 00:00:02 00:00:12 228 193 129 198 4
4 video-2gqpXl8I7mE_resize.mp4 1 00:00:12 00:00:20 228 193 129 198 5
5 video-2gqpXl8I7mE_resize.mp4 1 00:00:20 00:00:27 228 193 129 198 5
6 video-2gqpXl8I7mE_resize.mp4 1 00:00:27 00:00:37 228 193 129 198 4
7 video-2gqpXl8I7mE_resize.mp4 1 00:00:37 00:00:43 228 193 129 198 6
8 video-2gqpXl8I7mE_resize.mp4 1 00:00:42 00:00:52 228 193 129 198 4
9 video-2gqpXl8I7mE_resize.mp4 0 00:00:52 00:01:02 228 193 129 198 4
10 video-3-oz1SPWiY4.mp4 0 00:01:09 00:01:19 443 232 296 401 4
11 video-3-oz1SPWiY4.mp4 1 00:01:19 00:01:35 443 232 296 401 3
12 video-3-oz1SPWiY4.mp4 0 00:01:35 00:01:45 443 232 296 401 4
13 video-4WZo39BbE3o_2.mp4 0 00:00:20 00:00:30 427 31 109 165 4
14 video-4WZo39BbE3o_2.mp4 1 00:00:30 00:00:49 427 31 109 165 2
15 video-4WZo39BbE3o_3.mp4 0 00:00:40 00:00:46 354 109 174 251 6
16 video-4WZo39BbE3o_3.mp4 1 00:00:46 00:00:50 354 109 174 251 9
17 video-4WZo39BbE3o_3.mp4 1 00:00:51 00:00:54 354 109 174 251 11
18 video-4WZo39BbE3o_3.mp4 0 00:01:09 00:01:14 81 123 204 237 7
19 video-4WZo39BbE3o_3.mp4 1 00:01:14 00:01:18 81 123 204 237 9
20 video-4WZo39BbE3o_3.mp4 1 00:01:28 00:01:31 98 79 204 281 11
21 video-4yzKIYbm6tM.mp4 0 00:00:00 00:00:06 137 45 120 172 6
22 video-4yzKIYbm6tM.mp4 1 00:00:06 00:00:14 137 45 120 172 5
23 video-4yzKIYbm6tM.mp4 0 00:00:14 00:00:20 137 45 120 172 6
24 video-64zoxiMu0p8_1.mp4 1 00:02:26 00:02:35 50 91 146 200 4
25 video-64zoxiMu0p8_1.mp4 1 00:02:35 00:02:44 50 91 146 200 4
26 video-64zoxiMu0p8_1.mp4 1 00:02:29 00:02:38 129 129 194 231 4
27 video-64zoxiMu0p8_1.mp4 1 00:02:40 00:02:54 121 122 177 238 3
28 video-64zoxiMu0p8_1.mp4 1 00:02:54 00:03:01 121 106 196 254 5
29 video-64zoxiMu0p8_1.mp4 1 00:03:26 00:03:37 43 62 312 298 3
30 video-64zoxiMu0p8_1.mp4 1 00:03:37 00:03:46 118 153 196 207 4
31 video-64zoxiMu0p8_1.mp4 1 00:04:14 00:04:24 123 96 239 264 4
32 video-64zoxiMu0p8_1.mp4 1 00:04:50 00:05:14 106 76 202 267 2
33 video-64zoxiMu0p8_1.mp4 0 00:05:14 00:05:24 106 76 202 267 4
34 video--U5SQGQl7ew_crop.mp4 0 00:00:12 00:00:22 202 258 183 102 4
35 video--U5SQGQl7ew_crop.mp4 1 00:00:22 00:00:36 202 258 183 102 3
36 video--cH7TGI6zUk.mp4 0 00:00:08 00:00:17 314 163 342 421 4
37 video--cH7TGI6zUk.mp4 1 00:00:17 00:00:30 314 163 342 421 3
38 video-DKqb-0bBx7E_resize.mp4 0 00:00:28 00:00:38 663 97 297 442 4
39 video-DKqb-0bBx7E_resize.mp4 1 00:00:38 00:00:50 663 97 297 442 3
40 video-DKqb-0bBx7E_resize.mp4 1 00:00:54 00:01:04 780 97 180 371 4
41 video-DKqb-0bBx7E_resize.mp4 0 00:00:59 00:01:09 185 364 249 176 4
42 video-DKqb-0bBx7E_resize.mp4 1 00:01:09 00:01:16 185 364 249 176 5
43 video-DKqb-0bBx7E_resize.mp4 0 00:01:16 00:01:26 185 364 249 176 4
44 video-DKqb-0bBx7E_resize.mp4 1 00:01:20 00:01:30 589 135 246 405 4
45 video-DKqb-0bBx7E_resize.mp4 1 00:01:52 00:02:05 616 64 344 475 3
46 video-DKqb-0bBx7E_resize.mp4 0 00:02:05 00:02:15 616 64 344 475 4
47 video-DXlgdJ34Gnc_resize.mp4 0 00:00:20 00:00:30 147 78 121 136 4
48 video-DXlgdJ34Gnc_resize.mp4 1 00:00:30 00:00:45 147 78 121 136 3
49 video-DXlgdJ34Gnc_resize.mp4 0 00:00:45 00:00:55 147 78 121 136 4
50 video-F-zT2pi-lnQ_1.mp4 0 00:00:22 00:00:32 0 0 724 540 4
51 video-F-zT2pi-lnQ_1.mp4 1 00:00:32 00:00:40 0 0 724 540 5
52 video-F-zT2pi-lnQ_1.mp4 0 00:00:40 00:00:49 0 0 724 540 4
53 video-F-zT2pi-lnQ_2.mp4 1 00:00:02 00:00:11 399 23 443 517 4
54 video-F-zT2pi-lnQ_2.mp4 0 00:00:25 00:00:29 378 16 211 323 9
55 video-F-zT2pi-lnQ_2.mp4 1 00:00:29 00:00:43 378 16 211 323 3
56 video-GB0e1M5p3NU.mp4 0 00:04:30 00:04:40 308 132 143 189 4
57 video-GB0e1M5p3NU.mp4 1 00:04:40 00:04:58 308 132 143 189 2
58 video-GB0e1M5p3NU.mp4 0 00:04:58 00:05:08 308 132 143 189 4
59 video-HSaTjpESyDU.mp4 1 00:00:00 00:00:04 92 42 207 198 9
60 video-HSaTjpESyDU.mp4 1 00:00:04 00:00:08 92 42 207 198 9
61 video-HSaTjpESyDU.mp4 1 00:00:08 00:00:15 92 42 207 198 5
62 video-HSaTjpESyDU.mp4 1 00:00:15 00:00:21 92 42 207 198 6
63 video-HSaTjpESyDU.mp4 1 00:00:21 00:00:28 92 42 207 198 5
64 video-HSaTjpESyDU.mp4 0 00:00:28 00:00:36 92 42 207 198 5
65 video-HSaTjpESyDU.mp4 1 00:00:36 00:00:40 92 42 207 198 9
66 video-HSaTjpESyDU.mp4 1 00:00:40 00:00:43 92 42 207 198 11
67 video-HSaTjpESyDU.mp4 1 00:00:43 00:00:48 92 42 207 198 7
68 video-OXlaho8wayQ_resize.mp4 0 00:01:33 00:01:43 263 70 408 374 4
69 video-OXlaho8wayQ_resize.mp4 1 00:01:43 00:01:50 263 70 408 374 5
70 video-OXlaho8wayQ_resize.mp4 0 00:01:50 00:02:00 263 70 408 374 4
71 video-Q01ZWqsU6a8.mp4 0 00:06:50 00:07:00 328 197 128 140 4
72 video-Q01ZWqsU6a8.mp4 1 00:07:00 00:07:42 328 197 128 140 1
73 video-Q01ZWqsU6a8.mp4 0 00:07:42 00:07:52 328 197 128 140 4
74 video-US59wO9bAv4_1.mp4 0 00:00:00 00:00:07 194 7 241 316 5
75 video-US59wO9bAv4_1.mp4 1 00:00:07 00:00:18 194 7 241 316 3
76 video-US59wO9bAv4_1.mp4 0 00:00:18 00:00:28 194 7 241 316 4
77 video-UUzTqHLTA4g.mp4 0 00:00:19 00:00:29 236 24 243 312 4
78 video-UUzTqHLTA4g.mp4 1 00:00:29 00:00:45 236 24 243 312 3
79 video-UUzTqHLTA4g.mp4 1 00:00:45 00:00:57 236 24 243 312 3
80 video-UUzTqHLTA4g.mp4 1 00:00:57 00:01:08 236 24 243 312 3
81 video-UUzTqHLTA4g.mp4 0 00:01:08 00:01:18 236 24 243 312 4
82 video-WMeziHjV7Sc_resize_resize.mp4 0 00:04:55 00:05:05 355 0 132 159 4
83 video-WMeziHjV7Sc_resize_resize.mp4 1 00:05:05 00:05:47 355 0 132 159 1
84 video-WMeziHjV7Sc_resize_resize.mp4 0 00:05:47 00:05:57 355 0 132 159 4
85 video-Z65lGGMaSFE_1.mp4 1 00:00:12 00:00:20 91 103 290 257 5
86 video-Z65lGGMaSFE_1.mp4 1 00:00:39 00:00:53 91 103 290 257 3
87 video-Z65lGGMaSFE_2.mp4 1 00:00:00 00:00:15 318 11 257 349 3
88 video-Z65lGGMaSFE_2.mp4 0 00:00:15 00:00:20 347 11 228 336 7
